NUTS_ID,cloud_mean,cloud_m01,cloud_m02,cloud_m03,cloud_m04,cloud_m05,cloud_m06,cloud_m07,cloud_m08,cloud_m09,cloud_m10,cloud_m11,cloud_m12
AT323,0.7393930568877193,0.7430999875068665,0.7633999983469645,0.7916000088055929,0.7866666714350382,0.815774992108345,0.6803250014781952,0.731674998998642,0.6295500099658966,0.6730499938130379,0.7481750100851059,0.763374999165535,0.7460250109434128
AT33,0.7329937481769808,0.7528333200348748,0.7613444394535488,0.7976444496048822,0.7748777800136143,0.8066583275794983,0.6665333310763041,0.7328833391269048,0.5989499986171722,0.681099995970726,0.7281416704257329,0.7539999981721242,0.7409583280483882
AT331,0.7302388890335957,0.7700666586558024,0.7692000071207682,0.7942666808764139,0.7663333415985107,0.7960750013589859,0.6645999997854233,0.7142750024795532,0.5853499919176102,0.6821499988436699,0.7318750023841858,0.7540749907493591,0.7345999926328659
AT335,0.7343711777486736,0.744216650724411,0.7574166556199392,0.7993333339691162,0.779149999221166,0.8119499906897545,0.6674999967217445,0.7421875074505806,0.6057500019669533,0.6805749945342541,0.7262750044465065,0.7539625018835068,0.7441374957561493
BA,0.63623958217601,0.7694599946339925,0.7274799903233845,0.7272866725921631,0.6944933374722799,0.7105949997901917,0.4749499946832657,0.3793199971318245,0.4769699990749359,0.5776749953627587,0.6281600013375283,0.7263799995183945,0.7421050041913986
BA0,0.63623958217601,0.7694599946339925,0.7274799903233845,0.7272866725921631,0.6944933374722799,0.7105949997901917,0.4749499946832657,0.3793199971318245,0.4769699990749359,0.5776749953627587,0.6281600013375283,0.7263799995183945,0.7421050041913986
BA01,0.6205736088256041,0.751399983962377,0.7020333309968313,0.7066833476225535,0.6752666632334391,0.7009249925613403,0.4689124934375286,0.36842500045895576,0.4624499976634979,0.5638374947011471,0.6184624992311001,0.7055124938488007,0.7229750081896782
BA02,0.6466835644096136,0.781500001748403,0.7444444298744202,0.7410222225719028,0.7073111202981738,0.7170416712760925,0.47897499551375705,0.3865833282470703,0.4866500000158946,0.586899995803833,0.6346250027418137,0.7402916699647903,0.7548583348592122
BE,0.7434083318544759,0.8412833412488302,0.8102499842643738,0.7306666771570841,0.6752500037352244,0.6948374956846237,0.6165124922990799,0.7446875050663948,0.6480250060558319,0.6941624879837036,0.7808874920010567,0.8246249929070473,0.85971250385046
BE3,0.7434083318544759,0.8412833412488302,0.8102499842643738,0.7306666771570841,0.6752500037352244,0.6948374956846237,0.6165124922990799,0.7446875050663948,0.6480250060558319,0.6941624879837036,0.7808874920010567,0.8246249929070473,0.85971250385046
BE32,0.7426659731815258,0.8333000143369039,0.8044333259264628,0.7208333412806193,0.6695000131924947,0.7001000046730042,0.6204249933362007,0.7528750002384186,0.6538250148296356,0.7067249864339828,0.7816499918699265,0.8115249872207642,0.8568000048398972
BE32B,0.7426659731815258,0.8333000143369039,0.8044333259264628,0.7208333412806193,0.6695000131924947,0.7001000046730042,0.6204249933362007,0.7528750002384186,0.6538250148296356,0.7067249864339828,0.7816499918699265,0.8115249872207642,0.8568000048398972
BE33,0.7441506905274259,0.8492666681607565,0.8160666426022848,0.740500013033549,0.6809999942779541,0.6895749866962433,0.6125999912619591,0.736500009894371,0.6422249972820282,0.6815999895334244,0.7801249921321869,0.8377249985933304,0.862625002861023
BE331,0.7441506905274259,0.8492666681607565,0.8160666426022848,0.740500013033549,0.6809999942779541,0.6895749866962433,0.6125999912619591,0.736500009894371,0.6422249972820282,0.6815999895334244,0.7801249921321869,0.8377249985933304,0.862625002861023
